text,sentiment
mau milih cawapres ditekan partai koalisi skr ditekan buka keran import kasihan pak jokowi jadi presiden memang b,negative
segala tentukan halalkan cawapres kalau begini menimbulkan pemikiran,neutral
polisi tengah menyelidiki terkait beredarnya situs menuding cawapres berselingkuh meminta kominfo mem,neutral
apa tidak pakar bahasa yahh merancang misi nya pakekelas capres lho kok masa kalah,neutral
sebagian besar dana kampanye via media cetak online billboard deh ditanggung,negative
rdp komite i dpd ri dirjen otonomi daerah kementerian koord bidang politik hukum keamanan ri deputi v kepala,neutral
keputusan pemerintah mengalokasikan penerimaan pajak rokok kerap disebut pajak dosan membantu pembiayaan,neutral
tanda tanda kekuasaan allah ialah tadinya tidak kenal kemudian kenal menjadi bagian hidup,positive
kalau mengerti untung rugi rate teori ekonomi soal keuntungan baru silahkan berargumen iya dik,neutral
temu usaha mice upaya tingkatkan kapasitas produktifitas umkm,neutral
mana lebih menyita perhatianmu suara burung apa gerskan ikan,neutral
nikmat sering luput disyukuri waktu luang kesehatan,neutral
pak edy suara semua dasarnya selalu jawab apa urusan menanyakan m,neutral
deputi bidang pengembangan destinasi kementerian pariwisata dadang rizki ratman menambahkan hari pertama rakornas,positive
tidak berbuat lebih mempertahankan kekuasaan jangan bertindak bodoh mempercepat perubahan ganti sistem i,negative
pilpres jokowi menang selisih jt suara sejumlah modal politik mestiny,neutral
aneh membahas masalah kesehatan tingkat nasional defisit bpjs pak prabowo memangnya jadi presiden s,neutral
gagal total nurmantyoekarang panen kok impor apa klikrmol pangan,negative
peluncuran website jaringan dokumentasi informasi hukum jdih komnas ham bagian peningkatan kualitas hukum,neutral
aku bukan relawan pak jokowi aku bukan orang bayaran aku amp masyarakat indonesia waras membutuhkan presidenprti,neutral
penandatanganan mou pks kemenpar bersama perusahaan perusahaan bidang pembiayaan,positive
persoalan ialah perlukah mengambil masa bulan menentukan bahawa inci tanah kementerian tentera suda,neutral
belasan dokterpesialis perawat temui prabowo bahas defisit bpjs dokterpun yakin prabowopresiden jokower tidak us,neutral
bukan luar negara tanjung batu pekan pahang kalau rezeki menjenguk sunrise bilik,neutral
pekerja pertamina mulai terdata dinyatakan selamat langsung bekerja melayani warga cek kesiapan alat b,neutral
waoow identitas gemari kemancan negara,neutral
setauku bunda memang vokal zaman orba dulu setelahnya baru rezim bunda ratna perse,negative
mohon perhatiannya pendukung prabowoandi henti kampanye bantu saudara palu mrk sangat menderita berhari hari t,neutral
delapan truk bbm mendapatkan pengawalan ketat menujuulawesi tengah dibagi beberapa titik mohon masyaraka,neutral
gerakan begini bagaimana relawan jokowi,negative
usia bukan penghalang tahniah puan jamaliah deh transform awet muda sekarang tidak sangka pakai meeracle muk,negative
selamat siang teman kabinet hari presiden memimpin rapat terbatas penanganan dampak gempa,neutral
prinsipnya kalau masuk partai orang menggunakan fasilitas m,neutral
evakuasi manualedih banget lihat begini apa dikata nasib negeri dipimpin petugas partai beberapa video eva,neutral
tidak negara produksi mobil massal tanpa industri baja kuat tidak punya,negative
menyusul pesan presiden mengizinkan bantuan internasional saudara sulteng menteri inggris,neutral
tidam memihak siapa kalau kedatangan jokowi oalu katakan kampanye,neutral
bencana dahsyat cenderung mempertanyakan keadilan tuhanah perlu sadar bhw manusia,neutral
lee sung kyung biar dikata rajin wudhu pakai laneige rasanya nggada apa nya dibanding ibu negara presiden,neutral
ingat tiga partai masa orde baru sekarang jadi pendukung pengusung jkw otori,neutral
soal penjarahan minimarket pak jokowi mengatakan jangan terlalu dipermasalahkan kali syepakat lapar haus,positive
satu sisi payah sisi berkah banyak gunung api aktif negara suburnya luar biasa,neutral
walaupuntatus gempa tsunami palu bencana nasional banyak negara asing membantu menerima,neutral
milyar dana pertemuan tahunan imf wb dialokasikan pemerintah baiknya dialokasikan bergotongroyong membant,neutral
bila menjenguk bencana negara negara luar sadar sangat bertuah lahir malaysia,neutral
sahabat butuh banyak siap memimpin tanpa beban tersandera kasus gertakan opung luhut tidak mbuat,neutral
pengakuan pelaku menjarah keluarganya terus terjadi apabila pemerintah lamban memberi bantuan,negative
membahas permasalahan ujar dosen hukum islam whooaa untung kaum bar bar,negative
jejaring akun robot pendukung jokowi tersangkutituskandalandi o o kamu ketahuan gantipresiden saatnya,negative
setauku bunda memang vokal zaman orba dulu setelahnya baru rezim bunda ratna persekusi secar,negative
sederhana berkaitan kesehatan mata silakan temukenali posyandu posbindu jaga perilaku gaya hidup,neutral
ditelepon rajaalman presiden jokowi tidakendiri hadapi masa masaulit,negative
karyawan peokoan manukan tama surabaya coblosan presiden tanggal april kerja,neutral
dear leutikans terbit bukubaru berjudul aku kamu istana karya rio prakoso,neutral
pks menerjunkan relawan sejak hari gempa terjadi wilayahulawesi tengah amp sekitarnya masyarakat sanga,positive
yakin tidak proses aparat lebih baik infestigasi sendiri ayo,positive
hari ibu negara ibu iriana widodo tepat berusia tahun amp anak pertama presiden mas gibran t,neutral
hayuks batik identitas mendunia jokowi hari batik nasional hari batik nasional,neutral
sembuhkanlah beliau segala penyakit berikan kesembuhan kesehatan lahir batin tetap melaya,neutral
pahami status bencana nasional serahkan pemerintah keputusannya bersama,neutral
pak cukup duduk santai ajaulteng biar pak presiden,neutral
pemerintah hati berstatmen media cerdas memberitakan semua berduka cepat membantu kond,positive
lagu alm pance pondaagepanjang terus begini takkan pernah damai bersenandung kemesraan cebong da,negative
mendukung batik salah satu industri kreatif menggerakkan ekonomi nasional iya hari batik nasional,neutral
damn men cuma butuh keadilan cuma persib,neutral
kalau mah bebas negara punga,neutral
kok jokowi diselametin oom,neutral
partai berkarya kan memang koalisi prabowo iya wajar,neutral
pks hendak padamkan aktifitasnya baik o orang mengaku orang orang luar mash tetap exis membantu masyarakat dim,positive
sekilasinfogefm bantuan asing masuk jokowi peduli,negative
jaga kesehatan kamu selalu yaah teens adel perbnyak minum air putih amp makan teratur jangan lupa selalu berdoa o,negative
bantuan negara banyak sekali menyampaikan keinginannya membantu menunjukkan teman bany,neutral
wah bogor mana kamu aku tahun lalu kkn disana v,negative
persib wajib melaksanakan partai kandang luar pulau jawa kalimantan hingga akhir musim dikenal,neutral
benar dipastikan dilakukan tidak demokrasi tegak negeri beredar kabar ratna,neutral
kalau kamu luar jawa aku bantu subsidi ongkos kirim ribu hueheue,neutral
presiden berpesan atlet berjuang amp bekerja keras memberikan hasil terbaik asianparagames,positive
menuntunku tahu sudut pandang penjahat membantuku melihat hukum sisi penjahat kat,neutral
lt keluargaku tidak pernah mengerti bukankah lulusan hukum mengenyampingkan,neutral
kalau bukan presiden bekerja buat rakyatiapa kalau bukan jokowi tidak adaeandainya sobat mau melihat,negative
batik identitas mendunia jokowi hari batik hari batik nasional,neutral
dosa besar pahlawan revolusi lapis surga lapis neraka gubernur bupati,neutral
paripurna rahmat h kalteng sepakat dpr hasil keputusan amankan men,neutral
memutuskan menghentikan kampanye diulteng menunda beberapa kegiatan tidak mengganggu pemerint,neutral
kahh kahh kahh kahh tmj geli perilaku mengampu bodoh menteri seorang perfectionist,negative
persib wajib melaksanakan partai kandang luar pulau jawa kalimantan hingga akhir musim bertan,neutral
mendukung batik salah satu industri kreatif menggerakkan ekonomi nasional hari batik nasional,positive
padahal hari tahun lalu punya perangkat sehebat sekarang termasuk lembaga bnpb uu penan,neutral
suara nya memang beda beda ciri khas masing masing kalau sering dengarkan lagu lama lama hafal kok,neutral
jadi kalian mau lima tahun depan negara dipimpin orang tega mempolitisasi bencana,neutral
sanksi lawan kejadian kemarin akibat tidak becusnya p i negara,negative
bila deh taksub mengidolakan manusia pu jadinya terkeluar isu utama semua tahu kekuasaan a,neutral
prioritas pemerintah tangani gempa tsunami saudara diulteng pasokan listrik bbm logistik jadi priorita,neutral
presiden mengemukakan hari lalu dirinya telepon raja arabaudialman bin abdulaziz alaud terkait benc,neutral
urusan ketahanan pangan kreativitas orang orang indonesia susah ditandingi,neutral
setel cafe band kakaknya w mau ngepost dulz enau negara lucu menertawakan diri,neutral
cukup lihat dengar video singkat mngatakan prabowo tpat tuk memimpin negiri htt,positive
memang fakta sebelumnya negara asing tidak percaya agama iklas mengirim bantuan dituduh melakukan pemur,negative
era pak jokowi melihat tontonan kali presiden lewat mendengar serene paspampres menyeb,neutral
dokumen keunggah biasanya bukan syarat utama jabatan,neutral
get well soon bu meski beda pandangan politik pendapat tidak ibu mendapat perlaku,neutral
buzzer botsnya tim distop tidak paling bikin pusing,negative
pilpres amp pileg serentak membuat pemilihan umum menjadi unik sekaligus pelik sini kamu melihat keseruan sekaligus rumitnya,positive
informasi penting kesehatan gigi mulut kamu perubahan hormonal hubungannya kesehatan mulut par,negative
saudara laki-laki sebaiknya kamera diletakkan dulu fokus gunakan kewenangan nyaris tidak terbatas seorang presiden mempercepat bantua,neutral
aku lahir mama papa beda negara iya aku bule blasteran indo amerika mama lahir amerika papa i,neutral
menko luhut soal pengamanan imf world bank tidak mau terlihat terlalu garang,neutral
koordinasi kepemimpinan absent memberikan saran kritis terhdp penanganan dihujat dituduh macam,neutral
pemerintah jangan cuma fokus mengurusi orang berduit fokuslah sama bencana sekarang,negative
tmnma seorg pngusaha anak salah seorg terkya jombang crita sedang krisis ekonomi saudara laki-laki pemerintah menutupi,neutral
fungsi akal berfikir berteriak didalam neraka meminta suara sangat keras,neutral
hari menjelang asianparagames banyak negara bakal mengambil bahagian kali termasuk kontinjen malaysia bukan,neutral
melihat pilpres indonesia sekarang langsung terpikirkan ah apa rasanya sebagian penduduk amerika capres me,neutral
i liked a video aku tanya pak jokowi pakai bahasa jawa,neutral
mantap kata kata pak jokowi aku avengers siap mencegah thanos menghapus setengah populasi j,positive
siang boss qu jangan lupa makan siang selalu pentingin kesehatan kamu yaemangat perfom nya iya,negative
suka video aku tanya pak jokowi pakai bahasa jawa,neutral
dosen macam bu lilis bikin aku tambah jadi orang hukum,negative
baca jadi menjejak bumi sadar kalau kekuasaan allah lebih besar sekuat apapun kamu mengu,negative
kebutuhan istri tidak cuma sandang pangan papan kalau kamu cinta sama istrimu iya kamu memenuhi kebutuhan sekund,negative
tuhan merdunya suara teman kamu,negative
aku suka pura waras partai berkarya iya hehehe,neutral
hidup negara jauh sempurna selama aku bernyawa kujaga indonesiaelamat menikmati ceri,negative
masyaallah sistur sedapnya suara,negative
yes tetap presiden bapak mantap,positive
kamu merasa susah tahun terakhir bukan salah jokowi brrt kamu meningkatkan kualitas,negative
drama allahwt sungguh luar biasa buka bobroknya rezim satu per satu menun,negative
mendukung batik salah satu industri kreatif menggerakkan ekonomi nasional,positive
bukan persaingan politik soal rakyat prestasi bapak prestasi pemerintahan jokowi jk umum,neutral
pasokan bbm provinsiulawesi tengah jalanemoga cepat selamat tujuan saudara diula,positive
paling suka kalau ngusung konsep latin tidak tahu suara cocok,negative
manado peduli pemerintah kota manado membuka posko bantuan disalurkan saudara saudari mengalami m,positive
pendekatan pembangunan daerah tertinggal berbasis seni budaya diharapkan berkontribusi pelestarian kearifan,neutral
solusi guru lapangan praktek pendidikan sering kordinasi akademisi pembuat kebijakan,neutral
infokeu kemenkeu fokus membantu badan nasional penanganan bencana bnpb kementerian lembaga pemerintah daerah kamu,negative
sepakat pak siap mewujudkan pilpres berintegritas permi,positive
pemerintah sebaiknya membuka akses kebenaran seluas luasnya korban menjamin kebebasan,positive
perbaikan tiang gardu listrik akibat gempa palu mulai dilakukan doauntuksultengaluranpemer,neutral
karyawan alfamart bangli tolak berita isu bohong mengajak pileg pilpres aman damai sejuk tolakhoax,positive
alhamdulillah konvoi tanki bbm tiba palu mndptkn pengawalan ketat kepolisian riemoga keadaan,positive
luar biasah tokoh kharismatik nu ribuanantri dukung prabowo pengasuh pondok pesantren attauhidiyah,positive
benar organisasi partai pki dibubarkan dinyatakan terlarang kalau jeli melihatnya cara,neutral
dpr membentuk panitia khusus dpr hak angket dana bencana nasional yakin terungkap banyak pelanggaran uu kon,positive
pak anies memang benar kelewatan deh waktu gempa lombok pemerintah provinsi dki kirim miliar sekarang gempa palu kirim lah,positive
negara menjadi negara maju oposisi penyampai agama benar benar memiliki moral mulia,positive
pemerintah izinkan korban gempa palu ambil barang minimarket pemerintah bayar barang diambil warga keputusan i,neutral
musibah lombok palu kok tidak lihat begundal cebong ngorok got ikut bantu mere,negative
alhamdulilah iya alloh akhirnya pasokan bbm masuk provinsiulawesi tengah khususnya kota palu donggala sem,positive
setuju bang lebih baik kirim relawan bantuan benar dibutuhkan bbm un,positive
prioritas tertinggi top priority penyediaan dana bencana bahkan mengizinkan pemerintah meminta bantuan pinjam,negative
pasokan bbm provinsiulawesi tengah jalanemoga cepat selamat tujuan saudara diul,positive
tidak salah bupati marah beliau percaya sempat istirahat sama halnya,neutral
handifaruqa berita bagus monitorcoid pertamina terus berupaya optimalkan penyaluran bbm lpg palu,neutral
alokasi dana penanganan bencana prioritas teinggi suatu negara seluruh dunia indonesia men,negative
kebanggaan gantyo koespradono indonesia caleg dpr ri partai nasdem dapil jateng nomor urut diperc,neutral
rezim preman pasar semoga beri kekuatan bu lindungan nya,positive
terima kasih pak lgs paluikap cepat pak presiden apresiasipt bapak akui sendiri banyak masalah h,positive
sandiaga didapuk menjadi endorser dompet dhuafa membantu korban bencana gempa donggala tsunami palu,neutral
tes ting voting suara indonesia bangkit indonesia jaya indonesia adil makmur angka mana pas unt,neutral
diangkat jadi presiden bahkan kampanye baru mulai kepercayaan masyakarat mulai mengalir tugas memperbai,negative
sabar iya opung tiba waktunya negara menjadi baik semoga allah,positive
rasa tidak pemimpin mampu menjangkau papua paling pelosok pedalaman cm pak jokowi pak jokowi se,positive
siap berjuang kebesaran partai berjuang kesejahteraan rakyat merdeka calegbantengbersatu,positive
minggu mendatangkan keberkahan rsiultan agung pekan rumah sakit menduplik,negative
disampaikan darmin nasution kebijakan pemerintah mendukung dunia usaha pariwisat,positive
resmi dirilis kpu visi pasangan prabowoandi lebih luas komprehensif dibanding petahana,positive
alhamdulillah terimakasih iya alloh tidak mendukung bapak jokowi kyai maruf amin alhamdulilah yaa rabb,positive
siap mensukseskan pileg pilpres aman damai sejukatgasnusantaraatgasnusantarakaltim,positive
baru kali gubernur sumatra utara terkenal jakarta medsoseru hahahaha,negative
peternak pedagang sapi madura sempat terpana janji tidak impor daging sapi terpilih jadi,negative
hari tahun lalu lahir uu pokok agraria uu nomor uu berpihak petani sangat nasionalis,positive
kenapapilihprabowo kenapapilihprabowo tegas bertindak melihat masalah negara melihatn,positive
biarlah nak makan roti canai harga rm sekeping janji puas hati aku kenal menteri pertahanan deh lama,negative
bangganya emak disebut cawapres bang diacara pentingilaturahim fraksi launching lag,neutral
aku sokong statement menteri kaedah dakwah ustazah siti kassim ustazah marina madey kutty paling terb,neutral
bersihmerakyatkerjanyata jokowilagi jokowi periode p nj l j h ferdinand kaitkan nama koalisi jokowi,neutral
demokrat terus peduli beriolusiartonodulurdhewejatimvii pacitan ngawi magetan ponorogo trenggalek pawitan golek,positive
mau dibantah siapapunby mampu mengawinkan stabilitas ekonomi politik demokratis,neutral
pemain tolak kalah terus maju berlatihembilan bulan pelatihan sekarang siap melawan negara neg,positive
semoga bapak semua aparat bertugas diberi kekuatan memudahkan kesehatan melimpah,positive
mantab majulah indonesia majulah umkm,positive
presiden buktikan gerakcepatuntukpalu sangat membantu penanganan bencana palu sekitarnya ayo gerak c,positive
kece banget ibu batik identitas mendunia jokowi hari batik nasional,positive
terimakasih pak presiden selalu tanggap ringan tangan cepat ambil alih keadaan salut hormat pak,positive
kedamaian mau menerima perbedaan marii wujudkan pemilihan umum pilpres pileg aman dama,positive
viralkan jokowi kukuh jaga kedaulatan dubes tiongkok dekati prabowo keputusan jokowi membuat lawan politik,positive
bantuan negara terima banyak sekali menyampaikan keinginannya membantu menunjukkan te,neutral
lawan tegakkan keadilan mah komisi disiplin pilih kasus kalau pemain persib tindakan,positive
selamat hari batik hargai banggalah budaya jangan direbut negara,positive
ngejagain negara aman bagaimana ngejagain kamu,negative
bahagia bday angkatan gendong anak kamu kapanendiri melulu terima kasih negara kamu kap,negative
presiden jokowiemangati warga tidakendirian hadapi masa masaulit,neutral
alhamdulillah fpi hilmi pks idi act rescue relindo berada dilokasi bencana palu mudah an relawan,positive
aku cinta hujan gulungan awan bintang bertaburan air tenang mengalir kilat tanpa suara kamu pcas thegro,negative
baru sikit kalau nak compare tsunami jadi dkt negara jiran semuaemoga allah lindungi,positive
melayani tradisi bahkan aceh kena tsunami pks tanpa kibarkn bendera tanpa membed,positive
berdoa bersama semoga allah senantiasa memberikan anugerah keselamatan kesehatan semua saudara kit,positive
gubernur,neutral
berdoa semuanya alat berat lancar kesini kemudian terlihat wajah pak jokowi menahan,neutral
orde baru tidak membuat sengsara anak bangsa justru mencatat pertumbuhan ekonomi tertinggi selama i,negative
akhirnya politik akur,neutral
hidup sehat jadi bekal berbuat kebaikan ayo cek kebiasaan sehari hari sangat menentukan kesehatan tubuh,positive
mashaa allahemoga jabatan bapak emban kelak menjadiaksi mulia dipersidangan maha dahsyat,positive
bangga melihat goodwill nya presiden menangani masalah bencana semoga allah memberikan kesempatan merest,positive
tidak perlu menakuti kelompok manapun justru keadilan tegakkan persyaratan utama sebuah prose,positive
masyaalloh luar biasa sambutan cawapres diumenep adilmakmur cita cita prabowosandi presi,positive
kondisi apapun amp insyaallah pancasilasakti meski warga negara indonesia wajib me,positive
nkri final landasan pancasila uud tinggal bagaimana mensyukurinya melih,negative
iya benar tagih janji prabowo wong presid,positive
berbeda pandangan demokrasi tidak memakai cara kekerasan aktivis perempuan,negative
apresiasi tinggi hubungan masyarakat pemerintah satu inialut bangga,positive
presiden berpesan atlet berjuang amp bekerja keras memberikan hasil terbaik asianparagames aya t,positive
vi penting kamu keluarga warga lainnya selamat semoga bantuan pemerintah,positive
kehidupan luas tidak melulu urusan politik cobalah untk ber empati mahluk laen,neutral
kamu tahu tidak kalau nama kamu selalu aku selipkan disetiap doa aku kesehatan pekerjaan rezeki keluarga ah,neutral
bersama sukseskan pileg pilpres aman damai sejukatgasnusantaraatgasnusantarakaltim pol,positive
siap perang ieu mah bersatu melawan ketidakadilan kronina persib bobotoh,positive
gusdur mengajarkan tidak mayoritas minoritas semua sama manusia amp sama warganegara diikat martabat kemanusiaan keadilan,negative
selamat hari batik ayo lestarikan batik ayo bangga milik negara sendiri jangan biarkan hak milik terbengkalai,positive
apapun pilihan politikmu tetap bersaudara wujudkan pileg pilpres aman damai danejuk polriprom,positive
hentikan dulu sejenak sentimen politik agama berdoa saudara saudara diulawesi tengah,neutral
