sentimen,text
NETRAL,Taragis balik na naman sa paghahanap ng Ringgo: The dog shooter. Ma babayrus na selpon ko wla pa din ako makita! Kelan ko ba susukuan toh? Bkt ko ba kasi naalala! Kasalanan toh ni Carlos at BBM eh! ??
NEGATIF,"@iwanfals BBM naik,, Gas susah,, lapang pekerjaan susah,, baca di berita sub kon pada gak di bayar"
NEGATIF,"Kemampuan Taik Taikin BBM ?  Gaji Komut Pertamina Tembus Rp8,3 Miliar Per Bulan, Saut Situmorang: Mangkanya Harga BBM Naik Buat Biayain Hidup Ahok! https://t.co/Ta71C34rdj"
NEGATIF,ini bbm diesel naik mulu jir
NETRAL,tanginamo bbm hahahaha parang nanghihingi ka lang ng candy ah
NEGATIF,"@liaasister Apa Ahok juga jd petugas partai, or mungkin dia hanya jd pos pendapatan bagi partai yg mnugasinya... yg jelas ketika BBM tak disubsidi, ada warga negara bergaji milyaran sebulan kok terasa gak berperikemanusiaan... sementara mau ngliwet"" aja susah bagi sbagian warga Indonesia ??"""
NETRAL,Sino kaya ang mga nasa likod ng 31m ni BBM?  Pasasaan ba at sisingaw din yan... https://t.co/dRD8BN1mfJ
NETRAL,@LongboardFamara @LeonardoAi_ @NetizensNFT @galleon_trade Gm BBM. ??????
NETRAL,Sino ba ang mga nasa likod ng 31m ni BBM...  Pasasaan ba at sisingaw din yan. https://t.co/aObPp1M5oD
NETRAL,"Kung Leni supporter ka tapos yung basehan mo ng character ng isang tao yung pagiging BBM supporter nya, kolera kang dako. Karamihan sa mga bumoto kay BBM mga ordinaryong tao, mga mahihirap na namumuhay ng disente!Yung sisihin nyo yung pagiging manipulative ng pamilyang yan!+"
NETRAL,Gudang BBM Ilegal kebakaran ... Lihat video vithrifting! #TikTok https://t.co/VowU1TrdgA
NETRAL,@xxnicoleee16xx BBM supp prof mo jan pustahan
NEGATIF,@Afifmufty1 @Gus_Raharjo @jokowi Naikin BBM berkali-kali koq kepentingan Rakyat..
NETRAL,Utang na loob BBM ??
NETRAL,"Corporate Secretary Pertamina Patra Niaga, Irto Ginting mengatakan, pihaknya akan menyalurkan BBM subsidi sesuai dengan kuota yang ditetapkan. https://t.co/4rd0KphPfQ"
NEGATIF,"@democrazymedia Klo sdh kaya gini, mau di sebut apa ? Bajingan Baik, Rezim paling baik ? Kemana para dewan terhormat? Tdk ada suaranya, BBM Naik, PPN Naik jd 11%, gas elpiji antri panjang, dll, Pada Diam Semua ,!!! Malah sibuk ingin berkuasa lg dgn membentuk Koalisi Besar ??"
NEGATIF,@dedifrozenfood @CFC_Jak @CNNIndonesia Jangan byk bergaya deh tanpa apapun dri prjuangan kepala ngara ngga bakal hidup enak. Kmu ja msih pke BBM murah klo tnp hutang emnkny kmu snggup byr BBM yg super duper mhal plgi brng2 smbako jka ngga mke htang pst mhal. Sanggup kmu??
NETRAL,@vxhshdjxnaja @GilasFans @SaltAndReality Andaming sinirang relationships si Pduts at BBM! ??
NEGATIF,@Ruthhisyam @geloraco Kalau rugi gila gilaan mungkin sekarang gak ada BBM yg bersubsidi.
NEGATIF,"Kalau gaji Ahok naik dari 2,8 M menjadi 8,36 M, itu menyesuaikan apa?  Harga BBM Non-Subsidi Naik, Pertamina: Menyesuaikan Harga Pasar https://t.co/bDDIgN8oU8"
NEGATIF,"EDAN! Gaji Komut Pertamina Rp 8,3 M Disorot Tajam, Pegiat Medsos: Mangkanya BBM Naik Buat Biayain Ahok!  Jokowi Bajingan Tolol Panji Gumilang Hindus 10 M Ngilu Angga Yunanda Jakarta International Stadium Umur 25 Refly Harun Rendy Kjaernett Princess https://t.co/rE1C2VYFUP"
NETRAL,"Jaga Penyaluran BBM Subsidi, BPH Migas Bentuk Satgas Pengawasan https://t.co/EhN92HFIx6"
NETRAL,"Emisi karbon yang di hasilkan kendaraan listrik lebih rendah dari kendaraan bbm, dan banyak lagi keunggulan dari kendaraan listrik!  #pakaimolisyuk #SpiderManDay  #Jailer  #breastfeeding  #JISOOxCoupangplay https://t.co/aZr3TdM1ez"
NETRAL,"@tanyarlfes Jadi inget jaman BB dulu gak sih....?? Org lomba upgrade hp ke BB demi gengsi dan fitur bbm nya ?? sempet pengen nyoba ip tapi gatau kenapa takut ribet sama ekosistemnya sih, jadi sekarang stay di android samsung dulu"""
NETRAL,"Lihat perbandingan kendaraan bbm sama kendaraan listrik, ternyata kendaraan listrik hasilkan emisi karbon yang lebih rendah sampai 50%  #pakaimolisyuk Umur 25 jaehyun Anton #NationalGirlfriendday Mas Ian 10 M Lizzo Ngilu Nge x Ngabchan Jisoo Interviews Haaland V IS COMING Jepang https://t.co/qXBrlCXByY"
NEGATIF,"@MMargani5 mantabs benar 100 M/th, krj cuma gedein cangkem doang, pertamina gk maju2 amat, minyak mentah dunia turun BBM tetap tinggi, utang pertamina juga gede, pamor ma kalah sama tetangga/petronas"
NETRAL,"Bisa di liat nih perbandingan kendaraan listrik sama kendaraan bbm, dari segi bahan bakar kendaraan listrik lebih hemat biaya loh  #pakaimolisyuk Lizzo Jepang nge x Jisoo Interviews Haaland ngilu jaehyun ngabchan KTH1 IS COMING 10 M Anton Umur 25 Mas Ian V IS COMING https://t.co/nqLESwFXDI"
NETRAL,"Banyak loh keunggulan dari kendaraan listrik ini, bisa di liat juga lewat perbandingan antara kendaraan listrik dan kendaran bbm   #pakaimolisyuk Lizzo Jepang nge x Jisoo Interviews Haaland ngilu jaehyun #NationalGirlfriendday ngabchan KTH1 IS COMING 10 M Anton Umur 25 Mas Ian https://t.co/J8tNAGLqTi"
NETRAL,@cantiknyaakuh @kegblgnunfaedh Tuh bocah juga gatau P itu apaan. Padahal pengguna bbm baru neken P ampe PING!!! kalo chatnya ga dibaca2 atau situasinya urgent.  Bukan sebagai pengganti salam.
NEGATIF,"@bachrum_achmadi Betul juga bg, udah 2 periode masih gk ada perkembangan, utang makin banyak, dollar gk turun2, bbm naik terus, fakir miskin makin banyak, kenapa nunggu ganjar jd presiden?? Itupun yg ngomong ketum nya bukan capres nya, piye tho iki ?"
NETRAL,@_thangana Uth aksi lezinqa eykhandiwe nje ama BBM BBL BBwhat what
NETRAL,"hari ini ngisi bbm, gk merhatiin si mbaknya sama mesinnya, pas nyalain mesin jg gk merhatiin indikatornya, udah jalan jarak sekilo baru ngeuh kl ternyata indikator bbm nya gk naek, tetep segitu, dikira rusak indikatornya, ternyata memang gak masuk itu si bensinya... ????"
NETRAL,Waktu itu jamannya masih bbm. Jadi gw broadcast message ke semua kontak bilang tolong balikin klo ada yg merasa pinjem pake kartu gw. Untung yg pinjem ngakuu ya Allah?? klo gak gw nangis gabisa yudisium gegara itu doang
POSITIF,Alhamdulillah masih di beri rezeki untuk bisa beli BBM #seruuubos
NETRAL,Ito na pala ang pinangakong Pilipinas ni BBM LOL
NEGATIF,"@sobat_anies maksudnya dijamin apa ? diberikan BLT dalam situasi subsidi listrik, bbm, pendidikan, kesehatan disunat sama saja dengan ternak kaum miskin. Yang bener itu mensejahterakan kaum miskin supaya terdidik dan mandiri secara finansial dan mandiri dalam mengelola kehidupan sosialnya."
NETRAL,"Semakin banyak orang yang beralih ke kendaraan listrik, artinya kita turut berkontribusi dalam mengurangi impor BBM dan capai target Net Zero Emission pada 2060  #pakaimolisyuk #pln #motor #mobil #info #terbaru #update #viral #breastfeeding #NationalGirlfriendday #coup https://t.co/BYTmCxYCZ7"
NETRAL,"Sampaikan Kebutuhan BBM, Beliadi Dan Heryawandi Datangi BPH Migas  https://t.co/NNkBj6sw3o"
NETRAL,"Selain lebih ramah lingkungan, biaya operasional kendaraan listrik justru lebih hemat dibanding kendaraan BBM lho. Bisa cek gambar berikut ya!  #PakaiMolisYuk  Jepang #earthquake Umur 25 Nge X Jokowi 10 M Ngilu Panji Gumilang Jakarta International Stadium Coward Drama Memew Refly https://t.co/gnO3ZRBcua"
NETRAL,BPH Migas Bentuk Satgas Pengawasan dan Monitoring Pastikan BBM Subsidi Tepat Sasaran https://t.co/fDWyX5OzhX
NETRAL,"@JenoFess Gara gara jeno chewing gum sih, dia lucu bgt woy. Masih inget bgt dulu jaman SMP dp bbm gue jeno sampe gak pernah ganti, terus SMA gak stan dan baru baru ini balik lagi ngestan gara gara video jj dia lewat fyp??????"
NEGATIF,"@ekosuharno @abu_waras Iya. Katanya tdk naikin bbm ,ehh naik berkali-kali kali, katanya pendidikan gratis ehh bayar , katanya pupuk petani murah ,ehh mahal bnget.  Gmn sih kodran kudrun keren.  Katanya mobil esemka ada,ehhh tau tau hoak  . Gara omnibuslaw  semua kerja kontrak."
NETRAL,naubos agad 1k q sa isang araw ng ganon ganon lang???!!! KASALANAN MO TO BBM
NETRAL,"@leozyl_ oooo banget zy, pas mentionku dibalas iqbaal ku jadiin DP BBM sebulan??"
NETRAL,@filo_omen @bffrenchie Hoy anong bbm challenge ????????
NETRAL,"@scaranauva Waduh jadi tg ya, aku juga pernah nge-tg ?? Aku main dari bbm terus ke twt. Ga terlalu sering main sih, lebih sering long hiatus wkwkwk. Terakhir jadi Wendy, sama sekali ga minat mau balik lagi, udah kesuspend juga tu akun sesat"
NETRAL,Sana ganto din yung energy nyo kay BBM. Lol
NETRAL,"@guunwok Nama: Neoma Nama panjang: nnnnneeeeeoooommmmaaaaaa Nama pendek: nm Ttl: di rs, hari kerja jam sibuk Pin bbm: k3p0d3h Mifav mafav all fav: calon anak-anakku ??  Selebihnya kita lanjutkan setelah jeda berikut ini"
NETRAL,"@sbyfess Coba filter bbm, tetus service CVT. Soal e semakin abot tarikan semakin boros BBM"
NEGATIF,Bbm naik tinggi susu tak terbeli Emasnya dibawa lari warganya pada mati.  #PrayForPapua
POSITIF,@_aPRILIo_ @ragilsagg @hrdbacot @hobihipnotized Kan nanti juga BBM subsidi bakal lenyap diganti subsidi mobil motor listrik ??
NETRAL,Kung bayaran kaya ni bbm ang P203B malamang sa alamang maging etneb ang bigas.??
POSITIF,"Harga BBM Naik untuk yang Nonsubsidi, Pakar Energi: Sudah Tepat #beritajogja #jogja #jogjaistimewa https://t.co/6AknJL39qb https://t.co/Y3wzyMV39y"
NETRAL,"Sah! Harga BBM Terbaru Hari Ini Rabu 2 Agustus 2023, Cek Pertalite dan Pertamax Jawa, DIY, dan Bali   https://t.co/0cnaDSF580"
NEGATIF,Mereka berpesta RAKYAT MENDERITA dengan KENAIKAN BBM yang tiada Tara??
NETRAL,"@_ggoh Plis dulu waktu masih jaman bbm aku pernah bilang sama orang baru kenal kalo itu foto kakakku, dan dia ngotot mau minta kenalin sama tu cewek??????????????"
NEGATIF,"@yaniarsim @jokowi Ketika Koruptor mencuri uang negara pura2 buta tuli,, padahal itu yang membuat rakyat sengsara, negara banyak utang, akibatnya pajak naik, BPJS naik, BBM naik, sembako mahal ??"
NEGATIF,@geloraco Yang penting tahun 2024 mari jangan pilih PDIP dan petugas partai PDIP yang terbukti bikin rakyat sengsara dengan kenaikan harga BBM dll.
NEGATIF,"Eko sudah menjadi pengemudi ojol sejak tahun 2017. Ia merasa sistem ini sangat sulit dan cenderung membuat pendapatan menurun.  Kini, orderannya benar-benar sepi. Bahkan untuk sekadar mendapat uang ongkos BBM dan operasional pun ia menyebut cukup berat.  https://t.co/s8pGhOJlLj https://t.co/png2bIdgLm"
NETRAL,"Diduga Ilegal, Ratusan Liter BBM Jenis Solar Diamankan Polisi   #Diamankan #RatusanLiter #BBM #PoldaGorontalo #KecamatanKwandang #KabupatenGorontaloUtara  https://t.co/ZidRiTdiFq"
NETRAL,@somberhellos @aphrolea BB AMPOTA BBM KA BA
NETRAL,"Kapolsek Pangurururan Hentikan Pengisian BBM Menggunakan Jrigen, Prioritaskan Kendaraan Yang Mengantri  #poldasumaterautara #divisihumaspolri #opsbinakaruna2023 #opsbinakarunatoba2023 https://t.co/iUn6XpnpDz"
NETRAL,sasabak na naman ako sa pila bukas t@ena mo talaga bbm
NETRAL,Ptdr
NETRAL,@sbyfess Gaji berapa nder? Lak PP etoll sm bbm nyucuki ta gak?
NEGATIF,@geloraco Harga bbm segunung ternyata buat gaji sikutilbabi
NETRAL,"Dua Gudang BBM Ilegal di Sumsel Terbakar, Dua Kapolsek Dicopot https://t.co/Yk43EU0cpc"
NEGATIF,"@PamanLee89 @PartaiSocmed Yang mana aja bole asal bbm turun , listrik murah , minyak goreng murah , beras murah !"
NETRAL,@avishiiiiiii BBM hai kya
NEGATIF,"dari mulai tarif listrik naik , tarif air naik , bahan pokok naik , bbm naik , bahkan lucunya kami yg hanya ingin santai di rumah dengan sebatang rokok pun anda naikkan pajak cukai tembakau sehingga kami tidak bisa merokok. padahal itu satu satunya hiburan kami saat terhimpit"
NETRAL,"Berdasarkan hasil evaluasi, sebanyak 1.075 badan usaha pengangkutan BBM tidak rutin dan/atau belum pernah melaporkan kegiatan usahanya. https://t.co/V1yKJHDwWQ"
NETRAL,"@inquirerdotnet @chonayu1 Ahas 'yan, BBM. Unahan mo na. ????????"
NETRAL,bbm ka po ba @happeehour ?
NEGATIF,@Pawangmagang @fullmoonfolks stelah toilet gratis bbm nya naik ??  Mending toiletnya ug ttp bayar tpnbbm ga naik. toh ke toilet bukan itungan liter
NEGATIF,"@RizkiAsihan Modal nangis saat BBM naik jaman SBY, pas berkuasa berubah jadi DRAKULA, menghisap darah rakyat."
NETRAL,@ENIGMASOLVER NEYO mau nanya nama panjang ttl pin bbm mifav mafav wafav nomor whatsapp id line username instagram zodiak hobi cita-cita idola sama yang paling penting kriteria cowok ideal (maaf banyak) (excited)
NETRAL,"Gaji Komut Pertamina Rp 8,3 M Disorot Tajam, Pegiat Medsos: Mangkanya BBM Naik Buat Biayain Ahok! https://t.co/QClByYkTt9"
NETRAL,Nahh udah saatnya nih kita beralih ke motor listrik yang 50% lebih ramah lingkungan dari motor bbm. Tertarik beli motor listrik? Aplikasi PLN Mobile bisa loh buat beli motor listrik. #PakaiMolisYuk #Motorcycle #Electricvehicle #Motor #Motorlistrik #Mobillistrik #Berita #Otomotif https://t.co/gqo5wMclbh
NETRAL,"&gt &gt  Rabu, 2 Agustus 2023 Kapolres OKU Polda Sumsel  AKBP ARIF HARSONO, S.I.K., M.H. . Pimpin Kegiatan Press Release BBM Ilegel Bertempat di Dusun Talang Aman Kel.Batu Kuning Kec.Baturaja Barat   Terduga Pelaku Saat Ini Masih Berstatus Sebagai Saksi https://t.co/TNWoZ3wPiA"
NETRAL,@PartaiSocmed BBM ga ada kenaikan tp tol dan penyebrangan kapal naik ya @erickthohir
NEGATIF,"@korantempo Gampang naikin pajaknya kendaraan yg pakai BBM  ,cabut subsidi BBM jangan izinkan sepeda motor BBM masuk jalan protokol dgn alasan mengurangi polusi.... Auto tidur beralaskan emas, Bersayapkan  uang makan kenyang tidurpun sleeping sembari tetep dapat mengatur kebijakan negara.??"
NETRAL,@BoomBoxMarket gm BBM ??
NEGATIF,@abu_waras Oooooh.... Ternyata BBM mahal buat biaya hidup si cipit ya...????????????
NEGATIF,"@HaeroenE @Miduk17 @jokowi Banyak. Anda kemana aja? Jangan membual, utang adalah hasil kesepakatan pemerintah dan DPR, dan hasilnya, asset NKRI meroket. BBM turun naik ikuti harga dunia, pupuk emang byk mafia, LPG 3 kg mau diatur ulang. Sembako melambung, biasa saja. Toh petani, peternak musti untung. https://t.co/WfTLo1t5ro"
NETRAL,Kuota BBM Subsidi Diprediksi Hanya Cukup Sampai Awal Desember 2023 #TrenAsia https://t.co/H3l0Tam4yY
NETRAL,"&gt &gt  Rabu, 2 Agustus 2023 Kapolres OKU Polda Sumsel  AKBP ARIF HARSONO, S.I.K., M.H. . Pimpin Kegiatan Press Release BBM Ilegel Bertempat di Dusun Talang Aman Kel.Batu Kuning Kec.Baturaja Barat   Terduga Pelaku Saat Ini Masih Berstatus Sebagai Saksi https://t.co/sNof3o1pW2"
NETRAL,kwkw tp emang karena beda jaman aja kitee. dulu msh banyak yg make bbm bbm an tp skrng pasti kaga dah. kalo dia bbm bbm an jg kaga mungkin lg
NETRAL,SUMPILLLLL TP NIH SODARA AK JG GINI???? PERASAAN DULU AK MASIH JAMAN BBM KNP DIA SKRNG MALAH IP 13 ??????????
NETRAL,BPH Migas Ramal Kuota BBM Subsidi Cukup Sampai Awal Desember 2023 https://t.co/Dw6Ka9HJXG
NETRAL,"&gt &gt  Rabu, 2 Agustus 2023 Kapolres OKU Polda Sumsel  AKBP ARIF HARSONO, S.I.K., M.H. . Pimpin Kegiatan Press Release BBM Ilegel Bertempat di Dusun Talang Aman Kel.Batu Kuning Kec.Baturaja Barat   Terduga Pelaku Saat Ini Masih Berstatus Sebagai Saksi https://t.co/0SCKCpQVIK"
NEGATIF,"@BosPurwa Kelas 01 itu bikin kebijakan turunin harga bahan pokok, tekan hutang, turunkan bbm bukan bagi bagi sembako...."
NETRAL,@Vuddoll2 @listenT33502569 @Imyour__Lady So pagkatapos WALDASIN ni BBM ang pera ng bayan eh…   HAMPASLUPA ka pa rin. ??
NETRAL,"Gaji Komut Pertamina Rp8,3 M Disorot Tajam, Pegiat Medsos: Mangkanya BBM Naik Buat Biayain Ahok! https://t.co/rC4QnLlkHU"
NETRAL,"Gaji Komut Pertamina Rp8,3 M Disorot Tajam, Pegiat Medsos: Mangkanya BBM Naik Buat Biayain Ahok!  https://t.co/VV6iKeASO3"
NETRAL,Implementasi E5 terus dipantau hingga ke depan diharapkan akan naik menjadi E10. Salah satu hal penting dalam implementasi bioetanol sebagai campuran BBM ialah keberlanjutan pasokan bahan baku tetes tebu. #Ekonomi #AdadiKompas   https://t.co/dVKkQmd9Ea
NETRAL,KASALANAN 'TO NI BBM!!!
NETRAL,Dasurv ma eliminate ng bbm apolo10
NETRAL,@rutshelle Bbm nan???
POSITIF,"Siapa yg setuju kalo biaya perawatan kendaraan listrik lebih murah? Nih bisa diliat perbandingannya dngn kendaraan BBM. Oh iya beli Molis skrng bisa lewat apps Pln Mobile ya, lebih praktis, hemat waktu dan tenaga, dn yg pasti lebih aman. #PakaiMolisYuk  Angga Yunanda IAN IAN IAN https://t.co/jljcDvzBFR"
NEGATIF,"@SautSipelebegu @txttransportasi dilema transportasi pribadi di Indonesia, terutama BBM, penyaluran BBM belum merata karena tidak semua tempat ada SPBU, shg di bantu warga yang membeli dengan derigen dan dijual kembali, tapi sekarang beli dgn derigen dilarang. Terus yang jauh dari SPBU gimana?"
NETRAL,Waketum Golkar Bamsoet Minta Pemerintah Lihat Keuangan Warga Saat Naikkan Harga BBM  https://t.co/4WNikDsMHN lewat @kabargolkarcom  #golkar #kabargolkar #golkarindonesia #airlanggahartarto #airlanggapresiden #2024golkarmenang #golkar2024 #golkarsolid
NETRAL,"Marak Pengunjal BBM, Polsek Seluma  Patroli di SPBU Tais. Pengunjal Mulai Menjauh https://t.co/NJXVDXnie4"
NEGATIF,"@geloraco Pantesan BBM jdi mahal,ternyata buat gaji si jamban yg gk punya prestasi"
NEGATIF,"Gaji Komut Pertamina Rp8,3 M Disorot Tajam, Pegiat Medsos: Mangkanya BBM Naik Buat Biayain Ahok! - https://t.co/5NXBEDFj2q"
NETRAL,@BoomBoxMarket Gm BBM
NETRAL,"@meowzlyn yuck, bbm ka pala e!"
NETRAL,@eicvsfascism Pero yun mga BBM trolls masaya na sa pagkatalo (dahil sa daya) ni Leni. ?????
NETRAL,Update Harga BBM @pertamina   Per 1 Agustus 2023   Pertalite : 10.000 Pertamax : 12.500 Pertamax Turbo : 14.400 Bio Solar : 6.800 Dexlite : 13.950 Pertamina Dex : 14.350  Note : Harga Tertera Untuk Wilayah Jateng &amp  DIY
NETRAL,Pemakaian BBM Subsidi Dinilai Lebih Tepat Sasaran | Harian Momentum https://t.co/oEpjMIoIyZ
NETRAL,@BoomBoxMarket gm BBM??
NETRAL,"@candyjelly__ Hiii! Gak papa, feel free for ask kok. Aku sebelum kerja juga liatnya dari latsol aja, terus pas udah kerja paling kamu cuma baca aja transaksi ini masuknya kemana. Kayak misal reimburse bbm operasional, itu masuknya ke biaya apa gituuu."
NETRAL,"Kenaikan tarif kapal ekspress dan reuler di Pelabuhan Merak dilakukan karena sejumlah pertimbangan, seperti kenaikan harga BBM. https://t.co/VXQi9u1hVE"
NEGATIF,"Gaji Komut Pertamina Rp8,3 M Disorot Tajam, Pegiat Medsos: Mangkanya BBM Naik Buat Biayain Ahok! https://t.co/vrCQ5qVsR8 https://t.co/LIT0wwHSju"
